KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
218,13429,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.1,,Strauss 1992 17.9,,,
219,13430,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.16,,Strauss 1992 17.9,,,
220,16999,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.41,,Strauss 1992 17.9,,,
221,17000,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.49,,Strauss 1992 17.9,,,
212,17001,Fortescue Group ,Fortescue Gp,Australia,-23.7,134.1,2800,140,,SH,0.43,,Strauss 1992 17.9,,,
170,13542,Golden Dyke Formation ,Golden Dyke Fm,Australia,-23.7,134.1,1900,95,,SH,0.04,,Strauss 1992 17.9,,,
214,13558,Gorge Creek Group ,Gorge Creek Gp,Australia,-23.7,134.1,3200,160,,SH,0.09,,Strauss 1992 17.9,,,
174,13646,Gunflint Iron Formation ,Gunflint Iron Fm,Canada,59.6,-103.1,2090,105,,CH,0.61,,Strauss 1992 17.9,,,
175,17002,Gunflint Iron Formation ,Gunflint Iron Fm,Canada,59.6,-103.1,2090,105,,CH,0.1,,Strauss 1992 17.9,,,
225,13847,Hooggenoeg Formation ,Hooggenoeg Fm,South Africa,-28.7,25.3,3450,173,,CH,0.12,,Strauss 1992 17.9,,,
226,13848,Hooggenoeg Formation ,Hooggenoeg Fm,South Africa,-28.7,25.3,3450,173,,CH,0.41,,Strauss 1992 17.9,,,
227,13849,Hooggenoeg Formation ,Hooggenoeg Fm,South Africa,-28.7,25.3,3450,173,,CH,0.69,,Strauss 1992 17.9,,,
228,13850,Hooggenoeg Formation ,Hooggenoeg Fm,South Africa,-28.7,25.3,3450,173,,CH,0.43,,Strauss 1992 17.9,,,
229,17003,Hooggenoeg Formation ,Hooggenoeg Fm,South Africa,-28.7,25.3,3450,173,,CH,0.58,,Strauss 1992 17.9,,,
162,13918,HYC Pyritic Shale Member ,"HYC Pyritic Shale Mbr, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.39,,Strauss 1992 17.9,,,
163,13919,HYC Pyritic Shale Member ,"HYC Pyritic Shale Mbr, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.64,,Strauss 1992 17.9,,,
253,14014,Isua Supergroup ,Isua Sgp,Greenland,76.3,-41.5,3700,185,,BIF,0.02,,Strauss 1992 17.9,,,
254,14015,Isua Supergroup ,Isua Sgp,Greenland,76.3,-41.5,3700,185,,H,0.01,,Strauss 1992 17.9,,,
186,14041,Jeerinah Formation,"Jeerinah Fm, Fortescue Gp",Australia,-23.7,134.1,2650,133,,SH,0.33,,Strauss 1992 17.9,,,
215,14570,Kromberg Formation ,Kromberg Fm,South Africa,-28.7,25.3,3300,165,,CH,0.13,,Strauss 1992 17.9,,,
119,17004,Lansen Creek Shale Member ,Lansen Creek Shale Mbr,Australia,-23.7,134.1,1350,68,,SH,1.24,,Strauss 1992 17.9,,,
120,17005,Lansen Creek Shale Member ,Lansen Creek Shale Mbr,Australia,-23.7,134.1,1350,68,,SH,1,,Strauss 1992 17.9,,,
121,17006,Lansen Creek Shale Member ,Lansen Creek Shale Mbr,Australia,-23.7,134.1,1350,68,,SH,0.89,,Strauss 1992 17.9,,,
122,17007,Lansen Creek Shale Member ,Lansen Creek Shale Mbr,Australia,-23.7,134.1,1350,68,,SH,0.6,,Strauss 1992 17.9,,,
142,17008,Lynott-Don Formation ,"Lynott Fm, McArthur Gp",Australia,-23.7,134.1,1490,75,,SH,0.94,,Strauss 1992 17.9,,,
178,14914,Malmani Subgroup ,"Malmani Fm, Espanola Subgp",South Africa,-28.7,25.3,2400,120,,CARB,0.23,,Strauss 1992 17.9,,,
179,14915,Malmani Subgroup ,"Malmani Fm, Espanola Subgp",South Africa,-28.7,25.3,2400,120,,CARB,0.4,,Strauss 1992 17.9,,,
184,14984,Manjeri Formation ,"Manjeri Fm, Ngesi Gp",Zimbabwe,-19.2,30.1,2600,130,,CH,0.35,,Strauss 1992 17.9,,,
164,14991,Marimo Slate ,Marimo Slate,Australia,-23.7,134.1,1500,75,,SH,0.05,,Strauss 1992 17.9,,,
176,15065,McLeary Formation ,McLeary Fm,Canada,59.6,-103.1,2100,105,,CH,1.19,,Strauss 1992 17.9,,,
109,15095,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.79,,Strauss 1992 17.9,,,
110,15096,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.48,,Strauss 1992 17.9,,,
111,15097,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.4,,Strauss 1992 17.9,,,
112,15098,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,1.17,,Strauss 1992 17.9,,,
113,17009,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.86,,Strauss 1992 17.9,,,
114,17010,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.65,,Strauss 1992 17.9,,,
115,17011,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.59,,Strauss 1992 17.9,,,
116,17012,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.54,,Strauss 1992 17.9,,,
117,17013,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,0.36,,Strauss 1992 17.9,,,
118,17014,McMinn Formation ,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,SH,1.17,,Strauss 1992 17.9,,,
213,15261,Mozaan Group ,Mozaan Gp,South Africa,-28.7,25.3,3000,150,,SH,0.11,,Strauss 1992 17.9,,,
180,15208,Mt. McRae Shale ,Mount McRae Shale,Australia,-23.7,134.1,2500,125,,SH,0.9,,Strauss 1992 17.9,,,
181,15209,Mt. McRae Shale ,Mount McRae Shale,Australia,-23.7,134.1,2500,125,,SH,0.44,,Strauss 1992 17.9,,,
108,17015,Nonesuch Shale ,Nonesuch Shale,USA,40.7,-96.2,1055,53,,SH,0.5,,Strauss 1992 17.9,,,
230,15433,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.15,,Strauss 1992 17.9,,,
231,15434,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.33,,Strauss 1992 17.9,,,
232,15435,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.25,,Strauss 1992 17.9,,,
233,15436,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.65,,Strauss 1992 17.9,,,
234,15437,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.93,,Strauss 1992 17.9,,,
235,15438,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.4,,Strauss 1992 17.9,,,
236,15439,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.54,,Strauss 1992 17.9,,,
237,15440,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,1.38,,Strauss 1992 17.9,,,
238,17016,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.14,,Strauss 1992 17.9,,,
239,17017,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.8,,Strauss 1992 17.9,,,
240,17018,Onverwacht Group ,Onverwacht Gp,Zimbabwe,-19.2,30.1,3450,173,,CH,0.08,,Strauss 1992 17.9,,,
