Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT02-027,-87.65,,,,,Mudstone,-25.89,0.07,0.1,
MT02-026,-87.9,,,,,Sandstone,-25.82,0.2,0.1,
MT02-025,-87.97,,,,,Mudstone,-25.72,0.01,0.1,
MT02-024,-88.04,,,,,Sandstone,-25.15,0.12,0.1,
MT02-023,-88.21,,,,,Mudstone,-25.59,0.15,0.2,
MT02-022,-88.45,,,,,Siltstone,-25.34,0.11,0.2,
MT02-021,-88.49,,,,,Sandstone,-25.2,0.06,0,
MT02-020,-88.61,,,,,Sandstone,-24.82,0.19,0,
MT02-019,-88.74,,,,,Sandstone,-24.74,0.03,0,
MT02-018,-88.91,,,,,Sandstone,-23.91,0.1,0,
MT02-017,-89.08,,,,,Sandstone,-24.55,0.28,0,
MT02-016,-89.26,,,,,Sandstone,-25.48,0.12,0,
MT02-015,-89.42,,,,,Sandstone,-24.84,0.07,0.1,
MT02-014,-89.59,,,,,Sandstone,-24.44,0.09,0,
MT02-013,-89.77,,,,,Sandstone,-24.59,0.09,0,
MT02-012,-89.8,,,,,Sandstone,-24.45,0.01,0,
MT02-011,-89.92,32,57,11,0,Sandstone,-25.22,0.19,0.1,
MT02-010,-90.09,,,,,Sandstone,-24.45,0.18,0,
MT02-009,-90.21,,,,,Sandstone,-24.53,0.07,0,
MT02-008,-90.43,,,,,Sandstone,-24.76,0.09,0,
MT02-007,-90.8,,,,,Sandstone,-24.99,0.02,0.1,
MT02-006,-90.91,,,,,Sandstone,-24.83,0.06,0.2,
MT02-005,-91.11,,,,,Sandstone,-24.95,0.09,0.1,
MT02-004,-91.32,89,11,0,0,Sandstone,-24.74,0.03,0.1,
MT02-003,-91.51,,,,,Sandstone,-23.82,0.05,0.7,
MT02-002,-91.72,,,,,Sandstone,-24.54,0.06,0.1,
MT02-001,-92,87,13,0,0,Sandstone,-24.88,0.09,0.1,
,,,,,,,,,,
Mushroom Butte,,,,,,,,,,
MT98-101,19.58,,,,,,-24.28,,47.7,
MT98-100,18.98,,,,,,-25.29,,50.2,
MT98-098,10.61,,,,,,-24.98,,26.4,
MT98-097,10.52,,,,,,-25.67,,1.6,
MT98-096,8.73,,,,,,-19.63,,0.2,
MT98-095,6.48,,,,,,-25.06,,7.6,
MT98-094,6.28,,,,,,-24.25,,3.8,
MT98-093,5.21,,,,,,-23.92,,46.3,
MT98-092,3.88,,,,,,-24.81,,53.3,
MT98-091,5.21,,,,,,-24.74,,0.6,
MT98-090,3.88,,,,,,-25.1,,1.1,
MT98-089,3.56,,,,,,-23.81,,0.4,
MT98-088,3.07,,,,,,-23.44,,0.4,
MT98-087,3.73,,,,,,-25.26,,2.2,
MT98-086,1.97,,,,,,-25.29,,4.4,
MT98-085,1.88,,,,,,-26.21,,22.9,
MT98-084,1.83,,,,,,-24.16,,0.7,
MT98-081,0.07,,,,,,-24.25,,35.1,
MT98-080,0.01,,,,,,-24.53,,34.5,
MT98-079,-0.01,,,,,,-25.6,,4.6,
MT98-078,-0.21,,,,,,-24.33,,5.5,
MT98-077,-0.23,,,,,,-23.71,0.05,1,
MT98-076,-0.52,,,,,,-23.76,,0.6,
MT98-075,-1.42,,,,,,-23.71,,1.5,
MT98-074,-2.22,,,,,,-24.48,,1.8,
MT98-073,-2.27,,,,,,-25.37,,2,
MT98-072,-2.24,,,,,,-24.31,,5.6,
MT98-070,-3.27,,,,,,-23.87,0.09,1.2,
,,,,,,,,,,
Bone Hollow,,,,,,,,,,
MT97-039,3.5,,,,,,-25.33,,19.6,
MT97-041,2.3,,,,,,-24.62,,63,
MT97-038,1.8,,,,,,-23.92,,34.4,
MT97-040,0,,,,,,-24.36,,1.7,
MT97-037,-1.1,,,,,,-23.71,,1,
MT97-036,-2,,,,,,-24.08,,1,
MT97-035,-2.1,,,,,,-25.4,,9.1,
MT97-035,-2.8,,,,,,-25.38,,9.5,
MT97-034,-3.1,,,,,,-23.84,,0.9,
MT97-033,-3.3,,,,,,-23.9,,1.1,
MT97-032,-4,,,,,,-23.26,,2,
MT97-031,-4.5,,,,,,-23.58,,0.7,
MT97-030,-7.6,,,,,,-23.41,,0.9,
MT97-029,-8.55,,,,,,-24.79,,69.4,
MT97-028,-10.4,,,,,,-23.53,,0.5,
MT97-027,-10.5,,,,,,-24.17,,0.2,
MT97-026,-12,,,,,,-24.19,,0.3,
MT97-026,-16.2,,,,,,-24.09,,0.3,
MT97-025,-16.3,,,,,,-24.76,,1.3,
MT97-024,-16.5,,,,,,-25,,0.9,
MT97-023,-17.2,,,,,,-24.67,,0.5,
MT97-022,-17.8,,,,,,-24.77,,0.4,
MT97-021,-18.3,,,,,,-24.91,,0.6,
MT97-020,-19.15,,,,,,-24.86,,1.1,
MT97-019,-20.15,,,,,,-25.28,,0.8,
MT97-018,-21.15,,,,,,-24.86,,1,
MT97-018,-21.15,,,,,,-24.65,,0.3,
MT97-017,-22.5,,,,,,-25.28,,1.4,
MT97-016,-23,,,,,,-24.96,,0.7,
MT97-015,-24,,,,,,-24.62,,1.6,
MT97-014,-25,,,,,,-24.78,,1.4,
MT97-013,-26,,,,,,-24.48,,1.3,
MT97-012,-26.9,,,,,,-24.25,,0.5,
,,,,,,,,,,
Helen's Leaves,,,,,,,,,,
MT00-176,9.6,,,,,,-23.63,0.05,0.3,
MT00-177,9.3,,,,,,-23.91,0.05,0.3,
MT00-178,9,,,,,,-23.8,0.08,0.4,
MT00-179,8.7,,,,,,-23.91,0.03,0.5,
MT00-180,8.4,,,,,,-24.15,0.08,0.6,
MT00-181,8.1,,,,,,-23.78,0.04,0.4,
MT00-182,7.8,,,,,,-23.86,0.06,0.3,
MT00-183,7.75,,,,,,-23.99,0.11,0.4,
MT00-184,7.7,,,,,,-23.86,0.04,0.4,
MT00-185,7.5,,,,,,-23.84,0.03,0.4,
MT00-186,7.1,,,,,,-23.95,0.11,0.5,
MT00-187,6.8,,,,,,-24.14,0.02,0.4,
MT00-188,6.5,,,,,,-24,0.05,0.3,
MT00-189,6.45,,,,,,-24.08,0.09,0.2,
MT00-190,6.15,,,,,,-24.13,0.12,0.4,
MT00-191,6,,,,,,-24.06,0.03,0.5,
MT00-192,5.8,,,,,,-24.11,0.09,0.4,
MT00-193,5.5,,,,,,-24.36,0.03,0.5,
MT00-194,5.2,,,,,,-24.51,0.07,0.6,
MT00-195,4.9,,,,,,-24.36,0.02,0.5,
MT00-196,4.67,,,,,,-24.22,0.05,0.6,
MT00-197,4.2,,,,,,-24.61,0.03,0.5,
MT00-198,3.9,,,,,,-24.13,0.03,0.5,
MT00-199,3.5,,,,,,-24.2,0.02,0.5,
MT00-200,3.5,,,,,,-24.52,0.03,0.6,
MT00-201,3.45,,,,,,-25.88,0.08,6.4,
MT00-202,3.15,,,,,,-26.96,0.05,36.2,
MT00-203,2.95,,,,,,-24.7,0.09,47.5,
MT00-204,2.66,,,,,,-24.9,0.11,33.7,
MT00-205,2.64,,,,,,-24.87,0.1,2.4,
MT00-206,2.55,,,,,,-24.47,0.04,0.7,
MT00-207,2.25,,,,,,-24.07,0.07,1.1,
MT00-208,1.95,,,,,,-24.08,0.06,0.7,
MT00-209,1.65,,,,,,-24.76,0.06,1,
MT00-210,1.35,,,,,,-25.59,0.09,1.3,
MT00-211,1.05,,,,,,-25.56,0.09,4.3,
MT00-212,0.95,,,,,,-24.08,0.01,39.5,
MT00-213,0.65,,,,,,-24.2,0.05,47.8,
MT00-214,0.35,,,,,,-25.59,0.14,54.4,
