Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,,3.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,,5.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,,,5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,carbonate,CARB,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,,,7.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,,,3.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,,,5.5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,,,5.3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,,6.5,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,,7.2,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,,6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,carbonate,CARB,0.46,-24.9,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,shale,SH,3.6,-25,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,carbonate,CARB,,5.4,,8,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,limestone,LS,,6.6,,3,FAIR87.973,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Badami,Badami,1300,dol,DOL,,,3.6,2,sath87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Badami Group ,Badami,1300,dolostone,DOL,,,3.2,,SATH87.147,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Badami Group ,Badami,1300,dolostone,DOL,,,3.9,,SATH87.147,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Badami Group ,Badami,1300,dolostone,DOL,,,3.6,2,SATH87.147,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Balbirini Dol, Nathan Gp",Balbirini Dolomite,1600,dol,DOL,,,-0.6,21,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
Bambui,Bambui,800,chert,CH,,-30.6,,1,fair86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Bambui Group ,Bambui,810,chert,CH,,-30.6,,,FAIR86.323,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bambui Group ,Bambui,810,chert,CH,,-30.6,,1,FAIR86.323,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Bangemall,Bangemall,1600,dol,DOL,,,0.8,7,veizer76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,2.3,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,2.2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,-1,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,-0.1,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,2.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,0.4,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,-0.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Bangemall Group ,Bangemall,1100,dolostone,DOL,,,0.8,7,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Bar River Formation ,Bar River,2250,qtzite,QUAR,0.07,-28.8,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Bar River Formation ,Bar River,2250,quartzite,QUAR,0.07,-28.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Barney Ck,Barney Creek,1650,shale,SH,0.79,-29.1,,14,smit75,Krissansen-Totton 2015,FALSE,FALSE,,,,
