Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Dripping Springs Formation ,Dripping Springs,1300,shale,SH,,-26.5,,3,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Duck Ck,Duck Creek,2000,chert,CH,0.23,-23.7,,6,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Ck,Duck Creek,2000,carb,CARB,0.25,-22.6,,7,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Ck,Duck Creek,1795,dol,DOL,,,0.17,21,veizer92a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Ck,Duck Creek,1795,carb,CARB,,,0.5,2,veizer76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Ck,Duck Creek,1795,carb,CARB,,,0.7,5,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Ck,Duck Creek,1795,carb,CARB,,,0.5,22,lindsay02,Krissansen-Totton 2015,FALSE,TRUE,,,,
Duck Ck,Duck Creek,1795,carb,CARB,,,-0.6,4,becker72,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,0.6,-23.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,0.3,-19.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,0.2,-19.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,0.2,-24.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.1,-23.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.2,-25.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.2,-29.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,0.2,-25.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.4,-22.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.2,-19.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,0.14,-24.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,0.14,-20,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.3,-22.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,0.7,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,0.5,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,0.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,,,0.8,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,limestone,LS,,,0.6,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,0.4,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,-0.4,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,limestone,LS,,,1,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,-2.1,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,dolostone,DOL,,,-0.8,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,0.25,-22.6,,7,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,0.23,-23.7,,6,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,,,0.7,5,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,,,0.5,2,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,,,-0.6,4,BECK72.577,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,,-25,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,,-31.7,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Duck Creek Dolomite ,Duck Creek,2000,carbonate,CARB,,-25,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,TRUE,,,,
Duck Creek Dolomite ,Duck Creek,2000,chert,CH,,-31.7,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,TRUE,,,,
Duck Creek Formation,Duck Creek,1795,carb,CARB,,,0.445035971,417,Wilson et al. (2010),Krissansen-Totton 2015,FALSE,FALSE,,,,
Duguan,Duguan,1200,carb,CARB,0.09,-26.8,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Duguan Fm, Luonan",Duguan,1100,lime,LS,,,0.3,3,xiao97,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Duguan Fm, Luonan",Duguan,1100,dol,DOL,,,-1.58,9,xiao97,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duguan Formation ,Duguan,1200,carbonate,CARB,0.09,-26.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Duitschland,Duitschland,2450,lime ,LS,0.64,-19.42,,18,bekker01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duitschland,Duitschland,2450,dol,DOL,0.23,-21.23,,14,bekker01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duitschland,Duitschland,2450,carb,CARB,,,6.43,33,buick98,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duitschland,Duitschland,2450,dol,DOL,,,4.58,17,bekker01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duitschland,Duitschland,2450,lime,LS,,,1.19,14,bekker01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Duitschland Fm.,Duitschland,2416,shale,SH,,,3.279545455,22,Guo et al. (2009),Krissansen-Totton 2015,FALSE,FALSE,,,,
Earaheedy,Earaheedy,1700,chert,CH,1.13,-23.2,,5,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Earaheedy,Earaheedy,1700,carb,CARB,0.29,-21.6,,3,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Earaheedy,Earaheedy,1700,carb,CARB,,,-1.3,4,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,limestone,LS,0.7,-28.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,carbonate,CARB,0.07,-15.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,limestone,LS,0.1,-21.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,3.1,-32.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,2,-29,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,0.09,-10.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,0.06,-11.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,0.4,-32.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,limestone,LS,,,-0.9,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,limestone,LS,,,-1.8,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,carbonate,CARB,,,-2.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,unknown,UND,,,-1 .3,4,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,chert,CH,1.13,-23.2,,5,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,carbonate,CARB,0.29,-21.6,,3,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,carbonate,CARB,,-33.2,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Earaheedy Group ,Earaheedy,1800,carbonate,CARB,,-33.2,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,TRUE,,,,
Egan,Egan,650,carb,CARB,0.24,-29.5,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Egan,Egan,650,dol,DOL,,,-0.5,1,will79,Krissansen-Totton 2015,FALSE,FALSE,,,,
Egan Formation ,Egan,640,dolostone,DOL,,,-0.5,,WILL79.377,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Egan Formation ,Egan,640,dolostone,DOL,,,-0.5,1,WILL79.377,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Egan Formation ,Egan,640,carbonate,CARB,0.24,-29.5,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,limestone,LS,,,5,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,dolostone,DOL,,,5.2,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,limestone,LS,,,4.8,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,dolostone,DOL,,,5.1,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,limestone,LS,,,5.4,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,dolostone,DOL,,,5.7,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,limestone,LS,,,4.5,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,dolostone,DOL,,,6.1,,MCNA83.175,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Einasleigh Metamorphics ,Einasleigh,1580,carbonate,CARB,,,5.2,8,MCNA83.175,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Einasleigh Mtm,Einasleigh,1575,lime,LS,,,4.93,4,mcnaughton83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Einasleigh Mtm,Einasleigh,1575,dol,DOL,,,5.53,4,mcnaughton83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Elandshoek,Einasleigh,627,carb,CARB,,,-0.871634383,59,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
Elbobreen,Elbobreen,700,shale,SH,3.8,-29.3,,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Elbobreen,Elbobreen,700,carb,CARB,,,3.3,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Elbobreen,Elbobreen,700,carb,CARB,,,4.1,24,fairc87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,shale,SH,1.8,-28.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,shale,SH,5.8,-30,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,dolostone,DOL,,,3.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,shale,SH,,,2.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,shale,SH,,,2.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,4.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,5.7,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,5.9,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,5.8,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,6.6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,4.3,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,6.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,5.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,5.5,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,2.9,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,2.7,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,4.4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3.7,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,0.8,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,4.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3.8,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,1.4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3.6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3.6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Elbobreen Formation ,Elbobreen,690,limestone,LS,,,3.4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,shale,SH,3.8,-29.3,,2,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,carbonate and shale,"CARB, SH",,,3.3,4,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Elbobreen Formation ,Elbobreen,690,carbonate,CARB,,,4.1,24,FAIR87.973,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Elenore Bay,Eleonore Bay,750,carb,CARB,,,5.2,10,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Elenore Bay,Eleonore Bay,750,carb,CARB,,,6,7,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Eleonore Bay,Eleonore Bay,750,carb,CARB,,-24.1,,7,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Eleonore Bay Formation ,Eleonore Bay,750,carbonate,CARB,,-24.1,,7,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Eleonore Bay Formation ,Eleonore Bay,750,carbonate,CARB,,,5.2,10,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Eleonore Bay Formation ,Eleonore Bay,750,carbonate,CARB,,,6,7,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,-27.5,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,-25,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,-22.4,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,-23.7,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,-24.9,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,-23.9,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,-21.6,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,5.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,5.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,7.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,4.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,chert,CH,,,5.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,3.7,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,4.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.4,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,5.6,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,7.2,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,dolostone,DOL,,,4.9,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.2,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,3.7,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.4,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Eleonore Bay Group ,Eleonore Bay,750,limestone,LS,,,5.1,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Emmerugga Dol, McArthur Gp",Emmerugga,1650,dol,DOL,,,-0.86,30,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Empire, Belt Sgp",Empire,1450,lime,LS,,,-2.55,2,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Empire, Belt Sgp",Empire,1450,dol,DOL,,,-1.6,1,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
En Nesoar,En Nesoar,1110,shale,SH,,,-2.655555556,18,Gilleaudeau and Kah (2013),Krissansen-Totton 2015,FALSE,FALSE,,,,
Epworth Gp,Epworth,1925,dol,DOL,,,0.2,1,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Epworth Group ,Epworth,1925,dolostone,DOL,,,0.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Epworth Group ,Epworth,1925,dolostone,DOL,,,0.2,1,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Erdaohe Fm, Luonan",Erdaohe,1550,lime,LS,,,-3,1,xiao97,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Erdaohe Fm, Luonan",Erdaohe,1550,dol,DOL,,,-1.22,5,xiao97,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Eskosenvaara Fm, Somerjarvi Gp, Kainuu",Eskosenvaara,2050,dol,DOL,,,4.81,3,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Espanola,Espanola,2300,silt,SILT,0.17,-27,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Espanola,Espanola,2300,carb,CARB,0.16,-25.9,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Espanola Formation ,Espanola,2250,carbonate,CARB,0.16,-25.9,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Espanola Formation ,Espanola,2250,siltstone,SILT,0.17,-27,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Espanola Formation ,Espanola,2250,limestone,LS,,,-3.4,1,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Etina,Etina,650,lime,LS,,,9.5,2,veiz76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Etina Limestone ,Etina,650,limestone,LS,,,9.4,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Etina Limestone ,Etina,650,limestone,LS,,,9.5,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Etina Limestone ,Etina,650,limestone,LS,,,9.5,2,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,-8.7,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,0.3,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,-1.2,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,2,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,0.5,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,-1.1,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,2.9,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,-4,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,carbonate,CARB,,,6.2,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,carbonate,CARB,,,3.9,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,2.2,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,2.1,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,-0.3,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,carbonate,CARB,,,3,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Eurelia Beds ,Eurelia Beds,1100,dolostone,DOL,,,4.1,,LAMB84.461,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
